id,title,known_as,language_id,director,runtime,aspect_ratio,site,release_date,country_id,key_word,description,poster_url,url,note,createdAt,updatedAt
1,权利的游戏S04E01,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811078230247136-1-1203.2715140000003.png,upload/video/20160902/1472811078230247136.mp4,,2016-09-02 10:12:14,2016-09-02 10:12:43
2,权利的游戏S04E02,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811139015466708-1-1051.1751250000002.png,upload/video/20160902/1472811139015466708.mp4,,2016-09-02 10:13:21,2016-09-02 10:13:48
3,权利的游戏S04E03,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811209623128474-1-1137.2889306666666.png,upload/video/20160902/1472811209623128474.mp4,,2016-09-02 10:14:05,2016-09-02 10:14:32
4,权利的游戏S04E04,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811251388555033-1-1100.780236.png,upload/video/20160902/1472811251388555033.mp4,,2016-09-02 10:14:43,2016-09-02 10:15:09
5,权利的游戏S04E05,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811288852894226-1-1063.242736.png,upload/video/20160902/1472811288852894226.mp4,,2016-09-02 10:15:18,2016-09-02 10:15:48
6,权利的游戏S04E06,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811325080629036-1-1046.1979306666667.png,upload/video/20160902/1472811325080629036.mp4,,2016-09-02 10:15:56,2016-09-02 10:16:19
7,权利的游戏S04E07,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811364030643659-1-1026.5672083333334.png,upload/video/20160902/1472811364030643659.mp4,,2016-09-02 10:16:28,2016-09-02 10:16:50
8,权利的游戏S04E08,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811395591279389-1-1046.9069723333334.png,upload/video/20160902/1472811395591279389.mp4,,2016-09-02 10:17:05,2016-09-02 10:17:32
9,权利的游戏S04E09,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811431578489728-1-1010.7180416666666.png,upload/video/20160902/1472811431578489728.mp4,,2016-09-02 10:17:41,2016-09-02 10:18:04
10,权利的游戏S04E10,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811464721173375-1-1305.8323056666668.png,upload/video/20160902/1472811464721173375.mp4,,2016-09-02 10:18:20,2016-09-02 10:18:51
11,爆裂鼓手,,3,,,,,2016-09-02 10:11:47,150,,又黄又暴力，没错，就是他，小哪吒,upload/video/20160902/1472811528157142331-1-2135.0956666666666.png,upload/video/20160902/1472811528157142331.rmvb,,2016-09-02 10:20:37,2016-09-02 10:23:30
12,荒野猎人,,3,,,,,2016-09-02 10:11:47,150,,小李子封帝之作,upload/video/20160902/1472811643814518186-1-3127.115.png,upload/video/20160902/1472811643814518186.rmvb,,2016-09-02 10:23:31,2016-09-02 10:27:25
13,裁缝,,3,,,,,2016-09-02 10:11:47,150,,霸气女流氓，魅力大神经,upload/video/20160902/1472811837796437986-1-2377.420666666667.png,upload/video/20160902/1472811837796437986.rmvb,,2016-09-02 10:26:09,2016-09-02 10:29:13
14,女子大乱斗,,3,,,,,2016-09-02 10:11:47,150,,霸气女流氓，魅力大神经,upload/video/20160902/1472811980798895443-1-2110.6543333333334.png,upload/video/20160902/1472811980798895443.rmvb,,2016-09-02 10:27:59,2016-09-02 10:29:45
15,一个勺子,,3,,,,,2016-09-02 10:11:47,150,,雍正在路边捡到了一个勺子，然后带进了自家羊圈，后来勺子不见了,upload/video/20160902/1472812154429781296-1-1887.3496666666667.png,upload/video/20160902/1472812154429781296.rmvb,,2016-09-02 10:30:51,2016-09-02 10:33:02
16,监守自盗,,3,,,,,2016-09-02 10:11:47,150,,2008年那场世界金融危机是如何产生的？前有《监守自盗》，后有《大空头》,upload/video/20160902/1472812276393498161-1-2172.7853333333337.png,upload/video/20160902/1472812276393498161.rmvb,,2016-09-02 10:33:30,2016-09-02 10:35:19
17,刺杀金正恩,刺杀金正恩,3,,,,,2016-09-12 03:36:38,150,搞笑,美国人式的愚蠢和幽默,upload/video/20160912/1473651420615104329-1-2243.5606666666667.png,upload/video/20160912/1473651420615104329.rmvb,,2016-09-12 03:40:26,2016-09-12 03:43:10
18,ssss,dfds,2,,,,,2016-09-14 01:57:10,3,dfdsf,sdfsd,upload/video/20160925/1474768678554347086-1-463.32000000000005.png,upload/video/20160925/1474768678554347086.mp4,sfdds,2016-09-25 01:58:19,2016-09-25 01:58:33
